datetime,dwords
2019-11-28T14:58:47+09:00,"['word0', 'word1']"
2019-11-28T14:53:26+09:00,"['word0', 'word2']"
2019-11-28T12:51:15+09:00,"['word0', 'word3']"
2019-11-28T12:37:03+09:00,"['word0', 'word4', 'word5']"
2019-11-28T12:36:44+09:00,['word0']
2019-11-28T12:33:00+09:00,['word0']
2019-11-28T12:08:54+09:00,"['word6', 'word7', 'word8']"
2019-11-28T12:08:02+09:00,"['word6', 'word7', 'word8']"
2019-11-28T12:07:57+09:00,"['word6', 'word7', 'word9']"
2019-11-28T12:07:18+09:00,"['word6', 'word7', 'word9']"
2019-11-28T12:07:05+09:00,"['word6', 'word7', 'word9']"
2019-11-28T12:06:56+09:00,"['word6', 'word7', 'word8']"
2019-11-28T12:06:43+09:00,"['word6', 'word10', 'word11']"
2019-11-28T12:05:49+09:00,"['word6', 'word10', 'word11']"
2019-11-28T12:05:47+09:00,"['word6', 'word10']"
2019-11-28T12:04:52+09:00,"['word6', 'word10']"
2019-11-28T12:04:48+09:00,"['word6', 'word10', 'word11']"
2019-11-28T12:04:19+09:00,"['word6', 'word7', 'word8']"
2019-11-28T12:04:09+09:00,"['word6', 'word7', 'word8']"
2019-11-28T12:03:58+09:00,"['word6', 'word12']"
2019-11-28T11:53:06+09:00,"['word6', 'word12']"
2019-11-26T19:35:04+09:00,"['word6', 'word13']"
2019-11-26T19:34:59+09:00,"['word6', 'word14']"
2019-11-26T19:15:29+09:00,"['word15', 'word13']"
2019-11-26T19:09:06+09:00,"['word6', 'word14']"
2019-11-26T18:47:22+09:00,"['word16', 'word17', 'word6']"
2019-11-26T18:27:07+09:00,['word18']
2019-11-26T18:18:14+09:00,"['word6', 'word19']"
2019-11-26T18:17:40+09:00,"['word6', 'word20', 'word9']"
2019-11-26T18:01:25+09:00,"['word6', 'word21', 'word22']"
2019-11-26T18:00:56+09:00,"['word6', 'word21', 'word22']"
2019-11-26T17:59:29+09:00,"['word6', 'word21', 'word22']"
2019-11-26T17:59:26+09:00,"['word6', 'word21']"
2019-11-26T17:28:42+09:00,"['word6', 'word21']"
2019-11-26T17:28:39+09:00,"['word6', 'word21', 'word22']"
2019-11-26T17:18:16+09:00,"['word6', 'word23']"
2019-11-26T17:18:08+09:00,"['word6', 'word17']"
2019-11-26T17:16:53+09:00,"['word6', 'word17']"
2019-11-26T17:16:33+09:00,"['word6', 'word17']"
2019-11-26T16:52:29+09:00,"['word6', 'word24', 'word9']"
2019-11-26T16:45:00+09:00,"['word6', 'word13']"
2019-11-26T16:44:22+09:00,"['word6', 'word13']"
2019-11-26T16:42:03+09:00,"['word6', 'word25']"
2019-11-26T16:37:27+09:00,"['word6', 'word26', 'word24', 'word27']"
